brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
FILA,Tênis Fila Recovery Masculino Azul Preto Cinza,379,90,37,,4.5,(2)
,Tênis Masculino Leve Esportivo Sapato Confortável Promoção,69,99,6,86,4.6,(7881)
PEGADA,Sapatênis Masculino Pegada Couro Macio Areia Casual,299,99,33,33,,
ART,Tênis Meia Feminino Com Cadarço Robusto Plataforma Lindo,119,60,78,93,4.6,(260)
,Tênis Feminino Academia Olymp Olimp Space Promoção E Barato,99,90,72,90,4.5,(5394)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,162,88,4.7,(4754)
KOLOSH,Tênis Sapatilha Slip On Preto Feminino Kolosh Calce Fácil,149,90,14,70,,
MORMAII,Tenis Mormaii Urban Free Original Skate Casual Masculino,179,90,156,90,4.7,(3427)
GODIVA,Tenis Slip On Jeans Azul Hotfix Godiva Confortavel Dia A Dia,129,99,32,50,,
,Kit Tenis Feminino + Relogio + Meia Academia Corrida Treino,78,40,68,99,4.4,(1880)
VIZZANO,Tênis Feminino Casual Vizzano,141,72,106,29,4.7,(332)
FERENZO,Tenis Feminino Star Casual Sapatenis Branco Leve Confortável,78,90,59,96,4.5,(10666)
KOLOSH,Tênis Adulto Feminino Kolosh Casual Confortável,199,99,33,33,,
OLYMPIKUS,Tênis Olympikus Corre Max Verde- Feminino,499,99,50,,,
POLO JOY,Tênis Sapatenis Masculino Polo Joy Casual Original Top,78,99,7,74,4.7,(829)
STARFLEX,Tenis 12 Molas Moderno Esportivo Masculino 1413 Confortavel ,159,90,140,71,4.7,(668)
MODARE,Tênis Feminino Modare Ortopédico Ultraconforto Esporão,159,99,95,99,4.7,(1589)
,Tenis Meia Feminino Calce Facil Tela,49,90,25,94,4.3,(2463)
SOFT WORKS,Tenis Profissional Bb80 Soft Works Sapato Calçado Epi,78,90,7,73,4.9,(80)
VIZZANO,Tenis Vizzano Feminino Casual Camurça Conforto Original,129,95,77,97,4.7,(550)
ADIDAS,adidas Break Start Masculino Adultos,349,99,329,99,4.8,(656)
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(52)
,Kit Tênis Masculino Esporte Fino Casual + Carteira Relogio,139,90,118,91,4.3,(134)
,Tênis Masculino Sapatênis Ortopédico Couro Original Leve New,299,90,33,32,4.9,(27)
MILADY,Tenis Feminino Casual Tons Neutros Retrô Clássico Oferta,87,90,69,85,4.6,(154)
,Tenis Masculino Academia Confortavel Barato Pra Malhar.,78,99,59,24,4.5,(3150)
,Tenis Feminino Casual Nyc Shoes Feminino Moda Lançamento,89,90,67,42,4.7,(1221)
FRONTINNI,Coturno Masculino Tênis Bico Emborrachado Segurança Trabalho,160,41,137,95,4.4,(962)
,Sapatilha Nautica Para Pesca Esportivas E Aventuras Diversas,45,90,15,30,4.7,(144)
,"Sapatênis , Leve De  Zíper Super Conforto",94,90,79,90,4.5,(1119)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
,Tenis Masculino Da Polo Varias Cores Exclusivo Lançamento ,78,90,71,01,4.5,(5114)
HERTZ,Tênis Ortopédico Super Leve Hz Esporão Facite Plantar,129,97,66,28,4.4,(254)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
VIZZANO,Tênis Vizzano 1214.205 Camurça,141,93,99,35,4.7,(1290)
,Tenis Feminino Casual Branco Retrô Clássico Original Force,78,90,7,73,4.7,(346)
POLO PLUS,Tênis Sapatenis Polo Plus Masculino Casual Promoção Envio Já,99,79,69,85,4.5,(4757)
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(52)
,Tênis Vizzano Feminino Branco Casual Confortavel Dia A Dia,168,74,129,99,4.9,(338)
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,99,42,33,14,4.7,(276)
